ticker,year,ITC,ACAP,DC,GOVSEC,DATA,ECO,OTHER,DRI
AAPL,2018,0.7115156346055563,0.7560639050218338,0.7383660846968731,0.8143028114173505,1.2980280588137199,1.483028803648641,0.925579715211261,0.9435747717119656
AAPL,2019,0.7611042014591821,0.6633411938611846,0.7732880778025795,0.7353740596131783,1.2896216079731797,1.5117260287518743,0.7409621195736007,0.9313905451851952
AMZN,2018,0.5686042141423048,0.8586817287237521,0.681488608852341,0.9953857882609304,1.1240111746684713,1.3884975194002465,0.9441854605061131,0.9138646522505096
AMZN,2019,0.7402347258662543,0.9814257372563512,0.76948246883366,1.0953141707431324,1.2596154541085287,1.524912706409803,1.1047295580711565,1.0417308126387896
BAC,2018,0.7588564033253955,1.166450570513607,0.7110186307970564,1.4706174197119266,1.5972244422315975,2.0255972937815585,1.112354236219264,1.2557300627461214
BAC,2019,0.8443387421133999,1.1866017586259556,0.6051594279490927,1.5010226941112257,1.5221164975861974,1.9100055092162391,1.1912944078824463,1.2369337194772843
BRK-B,2018,1.1509045592280722,0.504868735389834,1.056877914454358,1.0823362904792047,1.959794553651752,1.441731144752857,0.9904114786123843,1.1622656444243071
BRK-B,2019,1.308496975843539,0.6871364517431293,1.2032896506545259,1.2042222889660574,2.103629611030163,1.6143817422595863,1.2156824097209584,1.3179551794538835
CSCO,2018,0.8243855859525777,1.289834981309129,1.0400343134788428,1.3675029850047185,1.8780701118072847,2.1915003103369846,1.5619411155017784,1.394410271546516
CSCO,2019,0.7943976576244304,1.2443055053099545,1.01515381054317,1.382764347594546,2.0358162242417084,2.247073136874531,1.5459299092492262,1.4098617604749704
DIS,2019,1.2464188856159468,1.2894228768736429,1.4862019139279334,1.3977440240379775,1.616300360365055,1.9388895896100664,1.4937650080146323,1.4730387356890728
GOOGL,2018,0.7848252700730279,0.9429740308261958,0.8972063382712301,1.1979014487298514,1.4471266356390262,1.6995589657447085,1.287101037514855,1.1318288684375672
GOOGL,2019,0.8166874892596471,0.9435021574710337,0.9445252723812883,1.309001161539028,1.5696978222422433,1.7946088045188526,1.3554778200419593,1.194712888448348
HD,2018,0.985193710801885,0.9026088057285705,0.6892093972398102,0.8109886692978417,1.741808377389315,1.8487718528369819,1.2791615330198232,1.1411772478206834
HD,2019,0.8914011664135238,0.8632984374002267,0.6967528151987608,0.7841089133201138,1.8191546852640494,1.853839699949282,1.174847254924668,1.1240183378225812
INTC,2018,0.8672856183372429,1.2033162879021366,0.8306410176556729,1.331968372712768,1.5905877267288138,1.9754701255713571,1.2477869632006224,1.2734204676481675
INTC,2019,0.8314186681372134,1.1823351051343662,0.7002989503993199,1.320926127150774,1.682322167033014,2.0632207163856924,1.0841601824409262,1.267765948799636
JNJ,2018,0.7152531650474202,1.0621891875331118,1.004028110932135,1.5266024509391432,1.7221814279526204,2.0264186916332143,1.384699651767453,1.2973730727346733
JNJ,2019,0.7670201988186293,1.088677688062017,0.987555196278656,1.571037236889499,1.7487126572233571,2.1315073115985124,1.4861363654647415,1.3369614376746328
JPM,2018,1.1410231892541076,1.3078451206108073,0.8433716250817366,1.6269439670030823,1.8012096885933255,2.1244836572312815,1.0709888761470123,1.4491750026593968
JPM,2019,1.0985816290820125,1.2919880087307876,0.8618860027492214,1.5750181369273684,1.6459521066769196,1.992694959147948,1.0865637530077839,1.3894466083877788
MA,2018,0.9208355289939193,0.979248558452872,0.7685729687835818,1.1207920746964601,1.2659070432284485,1.6774680392762573,1.068362209293515,1.1049278363870705
MA,2019,0.9494765368991693,0.9247884333138688,0.7861687813818764,1.2355461247518122,1.4337242008822864,1.7563562802237034,1.0965482661062027,1.1566223021285593
META,2018,1.013370687282293,1.1794330251541931,0.9307597800909682,1.331540908442747,1.6090116204968605,1.9617635436435215,1.3217168177964762,1.3135221203884118
META,2019,0.9588047363396129,1.1128628654680048,0.8948550269372673,1.2856630701707081,1.5968175732243657,1.8706337864440241,1.4298825018916577,1.2615289388779782
MSFT,2018,1.0619613727297645,1.3901697930652175,1.0926047395403553,1.4933809545575922,1.5997922042669148,1.9012564292704484,1.4682251509746793,1.4034813823042929
MSFT,2019,1.1759965592030495,1.5629546067241553,1.1867693081871853,1.511348761164721,1.7492586419023473,1.9989066425575548,1.6596966610620965,1.514732736257212
PFE,2018,0.315788521005431,0.5792428723612827,0.3718727155795911,0.7351637357909583,1.1569253476705668,1.550650078404433,0.33456664769221417,0.7511980602901751
PFE,2019,0.3012039677714749,0.5585354577005596,0.3664119227577457,0.7149183358671918,1.1527652021189339,1.4968413163377623,0.3800853388398768,0.731588401656652
PG,2018,0.641728859471063,0.7479301888500928,0.5648848157143799,0.9626245723595126,2.1515304325056537,1.7984595423695,0.9117338419687168,1.099556714106588
PG,2019,0.6678872792340779,0.786434465637485,0.555705216036966,1.011705467212116,2.027768402078908,1.7362070556112812,0.9959064338764347,1.0905722701152032
UNH,2018,0.38687900668559394,2.088789620086284,0.395964082887706,1.3844923946447552,1.993494503303908,2.0586627465387917,0.6016339839011969,1.3700257844606498
UNH,2019,0.40503799342890906,2.0672932599765304,0.40391703908140825,1.3637918334087138,2.031767547826249,2.11057381926921,0.6030004415083645,1.3809737866189251
V,2018,0.8402770225465785,1.281840424417709,0.9672309009909632,1.2584860696184876,1.5474541224852534,1.9990635762553886,1.0652139236085278,1.2902586897953714
V,2019,0.8937968086940652,1.5403109796403383,0.9961773732150505,1.4354872578971474,1.6159036762264665,2.170969019025479,1.2161917277166534,1.4196021566215022
