year,topic,prop
2018,-1,0.17282717282717283
2018,0,0.053613053613053616
2018,1,0.03862803862803863
2018,2,0.033300033300033303
2018,3,0.021645021645021644
2018,4,0.021312021312021312
2018,5,0.020313020313020312
2018,6,0.020313020313020312
2018,9,0.019314019314019316
2018,13,0.01898101898101898
2018,7,0.018648018648018648
2018,8,0.018648018648018648
2018,11,0.017649017649017648
2018,14,0.017649017649017648
2018,12,0.016317016317016316
2018,10,0.015984015984015984
2018,17,0.015984015984015984
2018,18,0.015984015984015984
2018,16,0.015651015651015652
2018,20,0.015651015651015652
2018,26,0.015318015318015318
2018,19,0.01431901431901432
2018,21,0.01431901431901432
2018,22,0.01431901431901432
2018,24,0.01431901431901432
2018,27,0.01431901431901432
2018,31,0.012987012987012988
2018,25,0.012321012321012322
2018,35,0.012321012321012322
2018,29,0.011988011988011988
2018,32,0.011988011988011988
2018,33,0.011655011655011656
2018,28,0.011322011322011322
2018,34,0.01098901098901099
2018,30,0.010323010323010324
2018,38,0.010323010323010324
2018,36,0.00999000999000999
2018,41,0.008658008658008658
2018,39,0.008325008325008326
2018,42,0.008325008325008326
2018,40,0.007992007992007992
2018,46,0.007992007992007992
2018,49,0.007992007992007992
2018,37,0.007326007326007326
2018,44,0.007326007326007326
2018,45,0.007326007326007326
2018,47,0.007326007326007326
2018,48,0.007326007326007326
2018,54,0.007326007326007326
2018,50,0.006993006993006993
2018,52,0.006993006993006993
2018,57,0.006993006993006993
2018,43,0.00666000666000666
2018,53,0.00666000666000666
2018,51,0.006327006327006327
2018,60,0.005994005994005994
2018,65,0.005994005994005994
2018,64,0.005661005661005661
2018,56,0.005328005328005328
2018,58,0.005328005328005328
2018,61,0.005328005328005328
2018,63,0.005328005328005328
2018,67,0.005328005328005328
2018,55,0.004995004995004995
2018,62,0.004995004995004995
2018,59,0.003996003996003996
2018,66,0.003996003996003996
2018,23,0.002331002331002331
2019,-1,0.15820433436532508
2019,0,0.04365325077399381
2019,1,0.03281733746130031
2019,15,0.030340557275541795
2019,2,0.028173374613003097
2019,23,0.023839009287925695
2019,3,0.02198142414860681
2019,4,0.019814241486068113
2019,5,0.019814241486068113
2019,6,0.019195046439628483
2019,7,0.01888544891640867
2019,10,0.01826625386996904
2019,8,0.01764705882352941
2019,12,0.0173374613003096
2019,11,0.016408668730650156
2019,9,0.015789473684210527
2019,19,0.015789473684210527
2019,14,0.015479876160990712
2019,16,0.015479876160990712
2019,13,0.014860681114551083
2019,17,0.01455108359133127
2019,18,0.014241486068111455
2019,20,0.014241486068111455
2019,21,0.01393188854489164
2019,22,0.01393188854489164
2019,25,0.01393188854489164
2019,28,0.013622291021671827
2019,30,0.013622291021671827
2019,24,0.012693498452012383
2019,29,0.01238390092879257
2019,37,0.012074303405572756
2019,27,0.011145510835913313
2019,26,0.010526315789473684
2019,32,0.010526315789473684
2019,33,0.010526315789473684
2019,34,0.010526315789473684
2019,31,0.01021671826625387
2019,36,0.01021671826625387
2019,39,0.01021671826625387
2019,35,0.009287925696594427
2019,40,0.009287925696594427
2019,43,0.008978328173374612
2019,38,0.0086687306501548
2019,41,0.0086687306501548
2019,44,0.00804953560371517
2019,45,0.00804953560371517
2019,59,0.007739938080495356
2019,42,0.007430340557275541
2019,47,0.007430340557275541
2019,55,0.007430340557275541
2019,48,0.0071207430340557275
2019,56,0.0071207430340557275
2019,46,0.006811145510835914
2019,50,0.006811145510835914
2019,51,0.006811145510835914
2019,58,0.006501547987616099
2019,49,0.006191950464396285
2019,53,0.006191950464396285
2019,52,0.0058823529411764705
2019,60,0.0058823529411764705
2019,61,0.0058823529411764705
2019,62,0.0058823529411764705
2019,63,0.005572755417956657
2019,66,0.005572755417956657
2019,54,0.005263157894736842
2019,57,0.005263157894736842
2019,64,0.0046439628482972135
2019,65,0.0043343653250774
2019,67,0.0043343653250774
